,k,model,hit@k,file,time
0,5,Embible/AlephBertGimmel-10-epochs,0.5865200994774873,C:/Users/ELDAR/PycharmProjects/Embible-Backend4/data/Hit@K/mixed validetion dfs masked spaces new P/MIX_val_df_masked_spaces_5_percent.json,0.9547929962476095
1,5,Embible/AlephBertGimmel-20-epochs,0.5900289218955265,C:/Users/ELDAR/PycharmProjects/Embible-Backend4/data/Hit@K/mixed validetion dfs masked spaces new P/MIX_val_df_masked_spaces_5_percent.json,0.9524976531664531
2,5,Embible/AlephBertGimmel-50-epochs,0.5872715039922078,C:/Users/ELDAR/PycharmProjects/Embible-Backend4/data/Hit@K/mixed validetion dfs masked spaces new P/MIX_val_df_masked_spaces_5_percent.json,0.9549358646074931
3,5,Embible/mBert-10-epochs,0.3700264204085421,C:/Users/ELDAR/PycharmProjects/Embible-Backend4/data/Hit@K/mixed validetion dfs masked spaces new P/MIX_val_df_masked_spaces_5_percent.json,1.0254778623580934
4,5,Embible/mBert-20-epochs,0.36100681907768545,C:/Users/ELDAR/PycharmProjects/Embible-Backend4/data/Hit@K/mixed validetion dfs masked spaces new P/MIX_val_df_masked_spaces_5_percent.json,1.0241993109385172
5,5,Embible/mBert-50-epochs,0.3728952561513935,C:/Users/ELDAR/PycharmProjects/Embible-Backend4/data/Hit@K/mixed validetion dfs masked spaces new P/MIX_val_df_masked_spaces_5_percent.json,1.0402714252471923
6,5,Embible/distilBert-10-epochs,0.3116949246523124,C:/Users/ELDAR/PycharmProjects/Embible-Backend4/data/Hit@K/mixed validetion dfs masked spaces new P/MIX_val_df_masked_spaces_5_percent.json,1.0934520641962686
7,5,Embible/distilBert-20-epochs,0.36525853077497394,C:/Users/ELDAR/PycharmProjects/Embible-Backend4/data/Hit@K/mixed validetion dfs masked spaces new P/MIX_val_df_masked_spaces_5_percent.json,0.9246042251586915
8,5,Embible/distilBert-50-epochs,0.36665098021049897,C:/Users/ELDAR/PycharmProjects/Embible-Backend4/data/Hit@K/mixed validetion dfs masked spaces new P/MIX_val_df_masked_spaces_5_percent.json,1.1588279962539674
9,5,Embible/AlephBertGimmel-10-epochs,0.542966848925398,C:/Users/ELDAR/PycharmProjects/Embible-Backend4/data/Hit@K/mixed test dfs masked spaces new P/MIX_test_df_masked_spaces_5_percent.json,1.5998844544092814
10,5,Embible/AlephBertGimmel-20-epochs,0.5582420098611809,C:/Users/ELDAR/PycharmProjects/Embible-Backend4/data/Hit@K/mixed test dfs masked spaces new P/MIX_test_df_masked_spaces_5_percent.json,1.4149929801623027
11,5,Embible/AlephBertGimmel-50-epochs,0.556249126521147,C:/Users/ELDAR/PycharmProjects/Embible-Backend4/data/Hit@K/mixed test dfs masked spaces new P/MIX_test_df_masked_spaces_5_percent.json,1.689457861582438
12,5,Embible/mBert-10-epochs,0.34183628691400714,C:/Users/ELDAR/PycharmProjects/Embible-Backend4/data/Hit@K/mixed test dfs masked spaces new P/MIX_test_df_masked_spaces_5_percent.json,1.711334804693858
13,5,Embible/mBert-20-epochs,0.35215857113525517,C:/Users/ELDAR/PycharmProjects/Embible-Backend4/data/Hit@K/mixed test dfs masked spaces new P/MIX_test_df_masked_spaces_5_percent.json,1.5878777662913004
14,5,Embible/mBert-50-epochs,0.35517578995558274,C:/Users/ELDAR/PycharmProjects/Embible-Backend4/data/Hit@K/mixed test dfs masked spaces new P/MIX_test_df_masked_spaces_5_percent.json,1.4990421772003173
15,5,Embible/distilBert-10-epochs,0.32228246710111996,C:/Users/ELDAR/PycharmProjects/Embible-Backend4/data/Hit@K/mixed test dfs masked spaces new P/MIX_test_df_masked_spaces_5_percent.json,1.171911350886027
16,5,Embible/distilBert-20-epochs,0.3489653409342532,C:/Users/ELDAR/PycharmProjects/Embible-Backend4/data/Hit@K/mixed test dfs masked spaces new P/MIX_test_df_masked_spaces_5_percent.json,1.1667054136594137
17,5,Embible/distilBert-50-epochs,0.3694168381992215,C:/Users/ELDAR/PycharmProjects/Embible-Backend4/data/Hit@K/mixed test dfs masked spaces new P/MIX_test_df_masked_spaces_5_percent.json,1.1694521109263103
18,5,Embible/AlephBertGimmel-10-epochs,0.35427613157091953,C:/Users/ELDAR/PycharmProjects/Embible-Backend4/data/Hit@K/mixed validetion dfs masked spaces new P/MIX_val_df_masked_spaces_10_percent.json,1.6003504316012065
19,5,Embible/AlephBertGimmel-20-epochs,0.36453956186645237,C:/Users/ELDAR/PycharmProjects/Embible-Backend4/data/Hit@K/mixed validetion dfs masked spaces new P/MIX_val_df_masked_spaces_10_percent.json,1.6264614105224608
20,5,Embible/AlephBertGimmel-50-epochs,0.367734236045658,C:/Users/ELDAR/PycharmProjects/Embible-Backend4/data/Hit@K/mixed validetion dfs masked spaces new P/MIX_val_df_masked_spaces_10_percent.json,2.114714292685191
21,5,Embible/mBert-10-epochs,0.22535048382928297,C:/Users/ELDAR/PycharmProjects/Embible-Backend4/data/Hit@K/mixed validetion dfs masked spaces new P/MIX_val_df_masked_spaces_10_percent.json,2.944435743490855
22,5,Embible/mBert-20-epochs,0.22417779156357492,C:/Users/ELDAR/PycharmProjects/Embible-Backend4/data/Hit@K/mixed validetion dfs masked spaces new P/MIX_val_df_masked_spaces_10_percent.json,2.4568583289782207
23,5,Embible/mBert-50-epochs,0.23537536061161926,C:/Users/ELDAR/PycharmProjects/Embible-Backend4/data/Hit@K/mixed validetion dfs masked spaces new P/MIX_val_df_masked_spaces_10_percent.json,2.5480682969093325
24,5,Embible/distilBert-10-epochs,0.2171842749038508,C:/Users/ELDAR/PycharmProjects/Embible-Backend4/data/Hit@K/mixed validetion dfs masked spaces new P/MIX_val_df_masked_spaces_10_percent.json,1.4022709290186564
25,5,Embible/distilBert-20-epochs,0.24389089944940867,C:/Users/ELDAR/PycharmProjects/Embible-Backend4/data/Hit@K/mixed validetion dfs masked spaces new P/MIX_val_df_masked_spaces_10_percent.json,1.519924287001292
